eventid,iyear,imonth,iday,nkill
197200000001,1972,5,25,0
198101260012,1981,1,26,0
198904040009,1989,4,4,0
198904120017,1989,4,12,0
198003170005,1980,3,17,0
198112060002,1981,12,6,5
198309140002,1983,9,14,0
198012170001,1980,12,17,0
198611150009,1986,11,15,0
198804180009,1988,4,18,0
198210060001,1982,10,6,0
198604230011,1986,4,23,0
198208190001,1982,8,19,0
197902020001,1979,2,2,0
198805030012,1988,5,3,0
198205040001,1982,5,4,0
198208200002,1982,8,20,0
198810160002,1988,10,16,0
198507170017,1985,7,17,0
198604170010,1986,4,17,0
198809010008,1988,9,1,2
198505160026,1985,5,16,0
198207190003,1982,7,19,0
198311090001,1983,11,9,0
198812020003,1988,12,2,0
198706040002,1987,6,4,0
198809060004,1988,9,6,0
198802190003,1988,2,19,0
198712250004,1987,12,25,0
198804190003,1988,4,19,0
198004010002,1980,4,1,0
198807020002,1988,7,2,0
198007040002,1980,7,4,0
198810130003,1988,10,13,0
198507170011,1985,7,17,0
198703040006,1987,3,4,0
198912270008,1989,12,27,0
198909020016,1989,9,2,0
198602160009,1986,2,16,5
198603180008,1986,3,18,2
197912280003,1979,12,28,1
198903210008,1989,3,21,0
198611160004,1986,11,16,14
198703290001,1987,3,29,0
198704110001,1987,4,11,0
198810060009,1988,10,6,0
198506100015,1985,6,10,0
198204230004,1982,4,23,0
198509090003,1985,9,9,0
197811070007,1978,11,7,0
198807020014,1988,7,2,0
198102030005,1981,2,3,0
198311200001,1983,11,20,0
198407090001,1984,7,9,0
198011200007,1980,11,20,0
198907280007,1989,7,28,0
198411270002,1984,11,27,0
198008190002,1980,8,19,0
198505160036,1985,5,16,0
198104010008,1981,4,1,0
198506210015,1985,6,21,0
198812150006,1988,12,15,0
198802190009,1988,2,19,0
198407240003,1984,7,24,2
198706130008,1987,6,13,0
198201270005,1982,1,27,10
198711190016,1987,11,19,0
198205050004,1982,5,5,0
198812150003,1988,12,15,0
198811120009,1988,11,12,0
198208260003,1982,8,26,0
197810270005,1978,10,27,0
198907200011,1989,7,20,0
198403260018,1984,3,26,1
198801220005,1988,1,22,0
198812060007,1988,12,6,0
198707210015,1987,7,21,0
198811220010,1988,11,22,0
198404100006,1984,4,10,0
198509090008,1985,9,9,4
198711070006,1987,11,7,0
197802280004,1978,2,28,0
198604010029,1986,4,1,0
198110020006,1981,10,2,0
197803120007,1978,3,12,0
197910100006,1979,10,10,0
198805030008,1988,5,3,0
198111110004,1981,11,11,1
198212280001,1982,12,28,0
198812090003,1988,12,9,0
198505160004,1985,5,16,0
197812220004,1978,12,22,0
198004170002,1980,4,17,0
198706240013,1987,6,24,0
198604230013,1986,4,23,0
198311010002,1983,11,1,0
198108010003,1981,8,1,0
198011020001,1980,11,2,0
198911140007,1989,11,14,0
198201180004,1982,1,18,2
197304290001,1973,4,29,0
198509140006,1985,9,14,0
198505160040,1985,5,16,0
198908160008,1989,8,16,0
198507170010,1985,7,17,0
198301130001,1983,1,13,0
198208150001,1982,8,15,0
198110190011,1981,10,19,2
198507170002,1985,7,17,0
198012160001,1980,12,16,0
198805030007,1988,5,3,0
197902100010,1979,2,10,5
198907130004,1989,7,13,0
198506030004,1985,6,3,13
198102020005,1981,2,2,2
198110250008,1981,10,25,0
198803180004,1988,3,18,0
198005200001,1980,5,20,0
198009120011,1980,9,12,0
198707120006,1987,7,12,0
198309220002,1983,9,22,5
198301200010,1983,1,20,0
198905220010,1989,5,22,0
198802150006,1988,2,15,0
198505160015,1985,5,16,0
198211110006,1982,11,11,0
198904040013,1989,4,4,0
198810060004,1988,10,6,0
198711070017,1987,11,7,0
198907270010,1989,7,27,0
198902170007,1989,2,17,0
198811190004,1988,11,19,0
198404100004,1984,4,10,0
198112040009,1981,12,4,0
198802130005,1988,2,13,0
198711060004,1987,11,6,0
198108260005,1981,8,26,0
198707210006,1987,7,21,0
198108120003,1981,8,12,0
198711190032,1987,11,19,0
198904050014,1989,4,5,0
197803120001,1978,3,12,0
198704060006,1987,4,6,0
198505160044,1985,5,16,0
197611080001,1976,11,8,0
198205050002,1982,5,5,0
198401220001,1984,1,22,1
198104280005,1981,4,28,0
198307190001,1983,7,19,0
198110230015,1981,10,23,0
198812020002,1988,12,2,0
198212270001,1982,12,27,0
197608280003,1976,8,28,0
198109110002,1981,9,11,0
197811170003,1978,11,17,0
198003110001,1980,3,11,0
198106020003,1981,6,2,0
198704060013,1987,4,6,0
198505160039,1985,5,16,0
198803220002,1988,3,22,0
198704120001,1987,4,12,0
198807020016,1988,7,2,0
198509210001,1985,9,21,0
198605130004,1986,5,13,0
198704250001,1987,4,25,9
198205050003,1982,5,5,0
197908040017,1979,8,4,0
198810200004,1988,10,20,0
198112040008,1981,12,4,0
198108090001,1981,8,9,0
198902150015,1989,2,15,0
198009080003,1980,9,8,0
198904190003,1989,4,19,1
198206180002,1982,6,18,5
198003170009,1980,3,17,0
197803120004,1978,3,12,0
198711080006,1987,11,8,0
198711190022,1987,11,19,0
198107230005,1981,7,23,0
198010310002,1980,10,31,0
198904120016,1989,4,12,0
198901280005,1989,1,28,0
198908280008,1989,8,28,0
198011190001,1980,11,19,0
198904050017,1989,4,5,0
198903180007,1989,3,18,0
198812090004,1988,12,9,0
198108040009,1981,8,4,0
198810060006,1988,10,6,0
198903010011,1989,3,1,0
198904280007,1989,4,28,0
197904140001,1979,4,14,0
198812150004,1988,12,15,0
198012120002,1980,12,12,0
