eventid,iyear,imonth,iday,nkill
197101280001,1971,1,28,0
197101280002,1971,1,28,0
197409270002,1974,9,27,0
197412270002,1974,12,27,0
197506160002,1975,6,16,0
197508060001,1975,8,6,0
197511020001,1975,11,2,0
197512120001,1975,12,12,3
197601260001,1976,1,26,2
197602120003,1976,2,12,0
197606280001,1976,6,28,0
197608040004,1976,8,4,1
197710140002,1977,10,14,13
197710170005,1977,10,17,11
197710170006,1977,10,17,2
197710270002,1977,10,27,0
197801230003,1978,1,23,1
197802020002,1978,2,2,11
197802030002,1978,2,3,3
197802110002,1978,2,11,0
197802260006,1978,2,26,0
197803260002,1978,3,26,3
197804210002,1978,4,21,0
197804270001,1978,4,27,2
197805150004,1978,5,15,0
197807090003,1978,7,9,1
197807090004,1978,7,9,0
197808220002,1978,8,22,4
197809130003,1978,9,13,0
197809160008,1978,9,16,0
197809190002,1978,9,19,2
197810000001,1978,10,0,0
197810130007,1978,10,13,1
197810300003,1978,10,30,0
197810310002,1978,10,31,0
197811060005,1978,11,6,2
197811090004,1978,11,9,0
197811150003,1978,11,15,4
197811300004,1978,11,30,34
197812130004,1978,12,13,1
197812130005,1978,12,13,0
197812240002,1978,12,24,0
197901140007,1979,1,14,1
197901150005,1979,1,15,1
197901150010,1979,1,15,0
197901160004,1979,1,16,0
197901220004,1979,1,22,4
197901250006,1979,1,25,0
197901250008,1979,1,25,0
197901310010,1979,1,31,2
197902070004,1979,2,7,2
197902100009,1979,2,10,5
197902150005,1979,2,15,0
197902160004,1979,2,16,0
197902170004,1979,2,17,2
197902180002,1979,2,18,0
197903060001,1979,3,6,1
197903060002,1979,3,6,0
197903080003,1979,3,8,0
197903130007,1979,3,13,0
197904090003,1979,4,9,1
197904250008,1979,4,25,0
197904300026,1979,4,30,0
197905010005,1979,5,1,0
197905010009,1979,5,1,3
197905010010,1979,5,1,0
197905020025,1979,5,2,3
197905020026,1979,5,2,0
197905040008,1979,5,4,19
197905040012,1979,5,4,3
197905070004,1979,5,7,0
197905100008,1979,5,10,0
197905120011,1979,5,12,0
197905150006,1979,5,15,0
197905160004,1979,5,16,1
197905160005,1979,5,16,0
197905170009,1979,5,17,1
197905170018,1979,5,17,2
197905170019,1979,5,17,3
197905240018,1979,5,24,0
197906260009,1979,6,26,2
197906290013,1979,6,29,2
197907170007,1979,7,17,0
197907270004,1979,7,27,1
197908210004,1979,8,21,0
197909140007,1979,9,14,0
197909180003,1979,9,18,1
197909190006,1979,9,19,0
197909220007,1979,9,22,4
197909230004,1979,9,23,3
197909290004,1979,9,29,4
197910010008,1979,10,1,4
