eventid,iyear,imonth,iday,nkill
197508080004,1975,8,8,11
197608040003,1976,8,4,0
197802260008,1978,2,26,8
197804240001,1978,4,24,0
197810090008,1978,10,9,0
197812010003,1978,12,1,0
197901060009,1979,1,6,0
197901170002,1979,1,17,2
197903060003,1979,3,6,0
197903060004,1979,3,6,0
197904270003,1979,4,27,1
197905020021,1979,5,2,0
197905040004,1979,5,4,1
197905100007,1979,5,10,0
197905110008,1979,5,11,0
197905190004,1979,5,19,8
197905240005,1979,5,24,1
197905240012,1979,5,24,0
197908160003,1979,8,16,8
197908200002,1979,8,20,1
197908240005,1979,8,24,2
197909170013,1979,9,17,0
197909220004,1979,9,22,2
197909220005,1979,9,22,1
197910040007,1979,10,4,0
197910090002,1979,10,9,0
197910110005,1979,10,11,0
197910110006,1979,10,11,0
197910110009,1979,10,11,0
197910240001,1979,10,24,1
197911040006,1979,11,4,0
197911230002,1979,11,23,0
197912040001,1979,12,4,0
197912130001,1979,12,13,1
197912130004,1979,12,13,1
197912200005,1979,12,20,0
197912200008,1979,12,20,0
197912210006,1979,12,21,0
197912290001,1979,12,29,3
198001040006,1980,1,4,0
198001140005,1980,1,14,0
198001140006,1980,1,14,0
198001250008,1980,1,25,0
198001270003,1980,1,27,3
198001270004,1980,1,27,20
198002050007,1980,2,5,0
198002070004,1980,2,7,0
198003080006,1980,3,8,11
198003240010,1980,3,24,2
198003240017,1980,3,24,6
198003240018,1980,3,24,3
198003270007,1980,3,27,1
198004010015,1980,4,1,0
198004070003,1980,4,7,6
198004070008,1980,4,7,16
198004170015,1980,4,17,1
198004170016,1980,4,17,3
198004170017,1980,4,17,5
198004230010,1980,4,23,1
198004300003,1980,4,30,1
198004300004,1980,4,30,3
198005010004,1980,5,1,4
198005080006,1980,5,8,0
198005120006,1980,5,12,1
198005140003,1980,5,14,2
198005170005,1980,5,17,50
198005200006,1980,5,20,6
198005200007,1980,5,20,1
198005270003,1980,5,27,1
198005300007,1980,5,30,20
198006090009,1980,6,9,1
198006140007,1980,6,14,0
198006200009,1980,6,20,5
198007060004,1980,7,6,2
198007230010,1980,7,23,2
198007280013,1980,7,28,0
198008040007,1980,8,4,5
198008090007,1980,8,9,4
198008130001,1980,8,13,12
198009110015,1980,9,11,0
198010050009,1980,10,5,1
198010050016,1980,10,5,1
198010080011,1980,10,8,6
198010090005,1980,10,9,13
198010150007,1980,10,15,40
198010170003,1980,10,17,5
198011060001,1980,11,6,2
198011210008,1980,11,21,2
198011210015,1980,11,21,1
198012020004,1980,12,2,1
198012020005,1980,12,2,4
198012180002,1980,12,18,37
198012180004,1980,12,18,6
198012260002,1980,12,26,10
198101090001,1981,1,9,1
198101150002,1981,1,15,2
198101200003,1981,1,20,12
198101200005,1981,1,20,0
198101230004,1981,1,23,5
198101240004,1981,1,24,7
198101290007,1981,1,29,2
198102170001,1981,2,17,2
198102220003,1981,2,22,50
198103020007,1981,3,2,40
198103050001,1981,3,5,1
198103150001,1981,3,15,2
198103170007,1981,3,17,0
198103180009,1981,3,18,10
198103190005,1981,3,19,6
198104010010,1981,4,1,0
198104010011,1981,4,1,3
198104090003,1981,4,9,23
198104200007,1981,4,20,4
198105010011,1981,5,1,2
198105010012,1981,5,1,0
198105010015,1981,5,1,16
198105030003,1981,5,3,1
198105070001,1981,5,7,1
198105110006,1981,5,11,0
198105150006,1981,5,15,11
198105170002,1981,5,17,5
198105200002,1981,5,20,3
198106010009,1981,6,1,6
198106070002,1981,6,7,16
198106100006,1981,6,10,14
198106110003,1981,6,11,4
198106120002,1981,6,12,4
198106180004,1981,6,18,9
198106250001,1981,6,25,1
198106250003,1981,6,25,4
198106250005,1981,6,25,5
198106280001,1981,6,28,9
198107010009,1981,7,1,0
198107020002,1981,7,2,2
198107130009,1981,7,13,3
198107270019,1981,7,27,0
198108040011,1981,8,4,3
198108100006,1981,8,10,0
198108240008,1981,8,24,3
198109090009,1981,9,9,4
198109090010,1981,9,9,7
198109100009,1981,9,10,1
198109140002,1981,9,14,14
198109280007,1981,9,28,2
198110070005,1981,10,7,6
198110150007,1981,10,15,1
198110160007,1981,10,16,1
198110190022,1981,10,19,0
198110250014,1981,10,25,2
198111010002,1981,11,1,6
198111020004,1981,11,2,2
198111060002,1981,11,6,9
198111170009,1981,11,17,0
198111200001,1981,11,20,1
198111240012,1981,11,24,2
198111270005,1981,11,27,2
198112060004,1981,12,6,32
198112090008,1981,12,9,0
198112100003,1981,12,10,2
198112110001,1981,12,11,2
198112110003,1981,12,11,1
198112180005,1981,12,18,5
198112200006,1981,12,20,9
198112210003,1981,12,21,2
198112220005,1981,12,22,15
198201040018,1982,1,4,1
198201110009,1982,1,11,24
198201150004,1982,1,15,2
198201170011,1982,1,17,23
198201200004,1982,1,20,19
198202050005,1982,2,5,1
198202220007,1982,2,22,1
198202240008,1982,2,24,2
198203040003,1982,3,4,1
198203070011,1982,3,7,3
198203150017,1982,3,15,3
198203160008,1982,3,16,5
198203280005,1982,3,28,2
198203310012,1982,3,31,8
198204010009,1982,4,1,7
198204030005,1982,4,3,13
198204040010,1982,4,4,5
198204050003,1982,4,5,22
198204170006,1982,4,17,10
198204240005,1982,4,24,3
198204260004,1982,4,26,2
198204270004,1982,4,27,20
198204280004,1982,4,28,4
198205000005,1982,5,0,0
198205090009,1982,5,9,2
198205130003,1982,5,13,22
198205140006,1982,5,14,6
198205160007,1982,5,16,8
198205170006,1982,5,17,5
198205180004,1982,5,18,26
198205180008,1982,5,18,7
198205250007,1982,5,25,6
198206080004,1982,6,8,23
198206120005,1982,6,12,8
198207080002,1982,7,8,5
198207250004,1982,7,25,5
198207280013,1982,7,28,6
198208060003,1982,8,6,0
198208210003,1982,8,21,5
198209170005,1982,9,17,20
198210070007,1982,10,7,0
198210080004,1982,10,8,1
198210140006,1982,10,14,2
198211260005,1982,11,26,5
198212180005,1982,12,18,33
198212240002,1982,12,24,0
198212290005,1982,12,29,3
198301070001,1983,1,7,9
198301070005,1983,1,7,2
198301070008,1983,1,7,2
198301170004,1983,1,17,30
198301170006,1983,1,17,2
198301290013,1983,1,29,1
198302080001,1983,2,8,3
198302120003,1983,2,12,5
198302120005,1983,2,12,37
198302140005,1983,2,14,41
198302210004,1983,2,21,30
198303030008,1983,3,3,7
198303060007,1983,3,6,5
198303220005,1983,3,22,46
198303230006,1983,3,23,15
198303240010,1983,3,24,10
198304070007,1983,4,7,30
198304150008,1983,4,15,5
198304180007,1983,4,18,120
198304290006,1983,4,29,58
198304300002,1983,4,30,13
198305060005,1983,5,6,22
198306050013,1983,6,5,22
198306190003,1983,6,19,10
198307220009,1983,7,22,2
198307250006,1983,7,25,10
198307270009,1983,7,27,7
198308040008,1983,8,4,3
198308100005,1983,8,10,11
198308170003,1983,8,17,1
198308170004,1983,8,17,6
198308220007,1983,8,22,18
198308220008,1983,8,22,30
198308290003,1983,8,29,15
198308310005,1983,8,31,0
198309010008,1983,9,1,4
198309030003,1983,9,3,200
198309140003,1983,9,14,38
198310040006,1983,10,4,19
198310140007,1983,10,14,1
198311020003,1983,11,2,23
198311100009,1983,11,10,3
198311120006,1983,11,12,3
198311150018,1983,11,15,2
198311170008,1983,11,17,40
198311200004,1983,11,20,2
198312240004,1983,12,24,7
198312240005,1983,12,24,0
198401080008,1984,1,8,2
198401120008,1984,1,12,5
198402050007,1984,2,5,43
198402070008,1984,2,7,10
198402070009,1984,2,7,15
198402070010,1984,2,7,9
198402180005,1984,2,18,5
198402180006,1984,2,18,36
198402240006,1984,2,24,3
198403020012,1984,3,2,17
198403030003,1984,3,3,33
198403060005,1984,3,6,0
198403150007,1984,3,15,39
198403170012,1984,3,17,4
198403180038,1984,3,18,16
198403200007,1984,3,20,0
198404010014,1984,4,1,0
198404080015,1984,4,8,0
198404080020,1984,4,8,4
198404080021,1984,4,8,0
198404200009,1984,4,20,2
198404230013,1984,4,23,6
198404230017,1984,4,23,0
198405030013,1984,5,3,40
198405060004,1984,5,6,10
198405140016,1984,5,14,0
198405280002,1984,5,28,0
198406010001,1984,6,1,8
198406100002,1984,6,10,0
198406180007,1984,6,18,13
198407070014,1984,7,7,5
198407250004,1984,7,25,40
198407300006,1984,7,30,15
198408100013,1984,8,10,8
198408140013,1984,8,14,12
198408180006,1984,8,18,30
198409010004,1984,9,1,50
198409110004,1984,9,11,4
198409110006,1984,9,11,10
198409130003,1984,9,13,10
198409160002,1984,9,16,93
198409180009,1984,9,18,3
198409210008,1984,9,21,4
198409270015,1984,9,27,5
198410080009,1984,10,8,2
198410100010,1984,10,10,12
198410200004,1984,10,20,0
198410230007,1984,10,23,35
198410230008,1984,10,23,23
198410230010,1984,10,23,1
198410260005,1984,10,26,3
198411060007,1984,11,6,12
198411080002,1984,11,8,12
198411130025,1984,11,13,25
198412050003,1984,12,5,10
198412050005,1984,12,5,1
198412050006,1984,12,5,3
198412050007,1984,12,5,2
198412100004,1984,12,10,9
198412110005,1984,12,11,3
198412110006,1984,12,11,7
198412120011,1984,12,12,9
198412200005,1984,12,20,1
198412300005,1984,12,30,2
198501140012,1985,1,14,2
198501150010,1985,1,15,8
198501150013,1985,1,15,3
198501180004,1985,1,18,11
198501220002,1985,1,22,1
198501250004,1985,1,25,0
198501260004,1985,1,26,12
198501280016,1985,1,28,4
198502050003,1985,2,5,0
198502110001,1985,2,11,1
198502170001,1985,2,17,18
198503090005,1985,3,9,10
198503140004,1985,3,14,0
198503150004,1985,3,15,3
198503300001,1985,3,30,7
198504230004,1985,4,23,18
198504240004,1985,4,24,10
198504290007,1985,4,29,3
198505040003,1985,5,4,3
198505170012,1985,5,17,7
198505180015,1985,5,18,52
198505190002,1985,5,19,8
198505190004,1985,5,19,7
198505300007,1985,5,30,0
198507060003,1985,7,6,7
198507170021,1985,7,17,9
198507180003,1985,7,18,5
198508010014,1985,8,1,0
198508010015,1985,8,1,0
198508010017,1985,8,1,0
198508020005,1985,8,2,6
198508020006,1985,8,2,1
198508040009,1985,8,4,0
198508040011,1985,8,4,0
198508160029,1985,8,16,1
198508180002,1985,8,18,11
198508190006,1985,8,19,3
198508190009,1985,8,19,3
198508200012,1985,8,20,1
198509010004,1985,9,1,0
198509110005,1985,9,11,0
198509130005,1985,9,13,0
198509170014,1985,9,17,0
198509180011,1985,9,18,0
198509180014,1985,9,18,0
198509220002,1985,9,22,0
198510090006,1985,10,9,10
198510090012,1985,10,9,10
198510180003,1985,10,18,4
198511010011,1985,11,1,9
198511060017,1985,11,6,3
198602060005,1986,2,6,2
198602120008,1986,2,12,0
198603170006,1986,3,17,0
198604050006,1986,4,5,1
198605130012,1986,5,13,1
198605130013,1986,5,13,2
198607040005,1986,7,4,8
198607050002,1986,7,5,3
198607050003,1986,7,5,3
198607180001,1986,7,18,6
198607210007,1986,7,21,10
198610240007,1986,10,24,21
198611010004,1986,11,1,7
198611040005,1986,11,4,20
198611040006,1986,11,4,22
198611110004,1986,11,11,4
198611110005,1986,11,11,1
198611110007,1986,11,11,9
198612050004,1986,12,5,0
198701130003,1987,1,13,9
198701190010,1987,1,19,2
198704100013,1987,4,10,0
198704200002,1987,4,20,3
198704210013,1987,4,21,2
198705050013,1987,5,5,1
198705200013,1987,5,20,0
198705240003,1987,5,24,5
198706020008,1987,6,2,7
198706020009,1987,6,2,0
198706110006,1987,6,11,1
198706210003,1987,6,21,7
198706260004,1987,6,26,2
198707010003,1987,7,1,3
198707100005,1987,7,10,0
198707190008,1987,7,19,8
198708020017,1987,8,2,0
198708190006,1987,8,19,0
198709120002,1987,9,12,10
198709150013,1987,9,15,0
198709220002,1987,9,22,0
198710080003,1987,10,8,5
198710200014,1987,10,20,0
198710300012,1987,10,30,0
198711040014,1987,11,4,0
198711040015,1987,11,4,1
198711040017,1987,11,4,0
198711080002,1987,11,8,2
198711080003,1987,11,8,1
198711110003,1987,11,11,3
198711150008,1987,11,15,0
198711210006,1987,11,21,18
198711240002,1987,11,24,1
198712100012,1987,12,10,1
198712120009,1987,12,12,11
198712190001,1987,12,19,0
198712280004,1987,12,28,0
198801020002,1988,1,2,18
198801030004,1988,1,3,10
198801040010,1988,1,4,1
198801040011,1988,1,4,16
198801150004,1988,1,15,0
198801180007,1988,1,18,11
198801200004,1988,1,20,2
198801200005,1988,1,20,6
198801210008,1988,1,21,0
198802030002,1988,2,3,17
198802240030,1988,2,24,0
198803110005,1988,3,11,0
198803160010,1988,3,16,1
198803180011,1988,3,18,0
198803190007,1988,3,19,2
198803200005,1988,3,20,0
198804250008,1988,4,25,2
198805040010,1988,5,4,0
198806120009,1988,6,12,13
198806130019,1988,6,13,1
198807180016,1988,7,18,4
198807190007,1988,7,19,2
198807220009,1988,7,22,0
198810030012,1988,10,3,0
198810170008,1988,10,17,3
198810190010,1988,10,19,0
198810290001,1988,10,29,1
198811020002,1988,11,2,2
198811060007,1988,11,6,0
198811230013,1988,11,23,22
198812050022,1988,12,5,0
198812150012,1988,12,15,2
198812150015,1988,12,15,0
198812200005,1988,12,20,1
198901120005,1989,1,12,5
198901270002,1989,1,27,1
198901300013,1989,1,30,0
198902010007,1989,2,1,0
198902220021,1989,2,22,0
198903010016,1989,3,1,5
198903230008,1989,3,23,0
198904040025,1989,4,4,0
198904060004,1989,4,6,1
198904100009,1989,4,10,0
198905070007,1989,5,7,1
198905220018,1989,5,22,2
198906080007,1989,6,8,0
198906180008,1989,6,18,0
198906220009,1989,6,22,0
198906220010,1989,6,22,0
198906220012,1989,6,22,0
198906220014,1989,6,22,0
198907040011,1989,7,4,2
198907120002,1989,7,12,1
198907150010,1989,7,15,0
198907290009,1989,7,29,4
198908130008,1989,8,13,1
198908170021,1989,8,17,14
198908220007,1989,8,22,0
198909030013,1989,9,3,8
198909050023,1989,9,5,0
198909050026,1989,9,5,0
198909050028,1989,9,5,11
198909060005,1989,9,6,2
198909190010,1989,9,19,0
198909250003,1989,9,25,0
198909270005,1989,9,27,1
198910310018,1989,10,31,0
198911250015,1989,11,25,0
198911260007,1989,11,26,0
